weight,type,style,prompt,instrumental
10,lofi,"lofi hip hop, chill, relaxing, study beats",warm nostalgic lofi beats with vinyl crackle and soft rain ambient sounds,true
8,lofi,"jazzy lofi, smooth jazz, chill hop",mellow jazz-influenced lofi with soft saxophone and warm piano chords,true
7,lofi,"nature lofi, ambient, peaceful",tranquil lofi beats with birds chirping forest sounds and gentle streams,true
9,lofi,"night lofi, late night, atmospheric",midnight study lofi with soft keys and distant city ambience,true
6,lofi,"coffee shop lofi, cozy, warm",cafe atmosphere lofi with background chatter and espresso machine hums,true
8,lofi,"rainy day lofi, melancholic, emotional",contemplative lofi beats with rain on windows and distant thunder,true
7,lofi,"summer lofi, bright, uplifting",golden hour lofi with cicadas and warm breeze sounds,true
5,lofi,"space lofi, ethereal, cosmic",floating ambient lofi with subtle synth pads and cosmic atmosphere,true
6,lofi,"vintage lofi, retro, nostalgic",old school hip hop influenced lofi with dusty vinyl samples,true
9,lofi,"focus lofi, minimal, concentration",clean minimal lofi beats perfect for deep work and studying,true
