weight,type,style,prompt,instrumental
10,lofi,chill lofi hip hop,nostalgic mood ambient lofi beats with warm vinyl crackle and soft rain sounds,true
8,lofi,jazzy lofi,smooth jazz-influenced lofi with mellow saxophone and vinyl warmth,true
7,lofi,nature lofi,peaceful lofi beats with birds chirping and gentle water sounds,true
9,lofi,night lofi,late night study lofi with soft piano and city ambience,true
6,lofi,coffee shop lofi,cozy cafe atmosphere lofi with background chatter and espresso machine sounds,true
8,lofi,rainy lofi,melancholic lofi beats perfect for rainy days with thunder in distance,true
7,lofi,summer lofi,warm summer evening lofi with cicadas and gentle breeze,true
5,lofi,space lofi,ethereal cosmic lofi with subtle synthesizers and space ambience,true
6,lofi,vintage lofi,retro-inspired lofi with old record player sounds and nostalgic melodies,true
9,lofi,study lofi,focused concentration lofi beats minimal and non-distracting,true
